claim_id,adjuster_id,note_date,adjuster_notes,note_type
1,ADJ001,2023-06-15,Initial inspection completed. Damage consistent with reported collision. Estimate pending.,INSPECTION
1,ADJ001,2023-06-18,Repair estimate received from body shop. $4500 for front bumper and hood replacement.,ESTIMATE
2,ADJ002,2023-07-01,Vehicle reported stolen from shopping center parking lot. Police report filed.,INITIAL
2,ADJ002,2023-07-10,Vehicle recovered with minor damage. Processing partial claim.,UPDATE
3,ADJ001,2023-08-05,Hail damage assessment complete. Multiple dents on roof and hood. PDR recommended.,INSPECTION
4,ADJ003,2023-09-12,Rear-end collision at intersection. Other driver at fault. Subrogation initiated.,INITIAL
4,ADJ003,2023-09-20,Subrogation successful. Full recovery from at-fault carrier.,RESOLUTION
5,ADJ002,2023-10-01,Water damage from flash flooding. Total loss determination pending.,INITIAL
5,ADJ002,2023-10-08,Vehicle declared total loss. Settlement offer sent to policyholder.,RESOLUTION
6,ADJ001,2023-11-15,Minor fender bender in parking lot. Quick repair expected.,INITIAL
